,artwork_uuid,object_id,artist_uuid,object_name,object_url,object_image_url,classification,culture,technique,description
0,820d2231-a8f9-4fb9-911f-e60f71245999,303393,fdaefca8-7ad4-4cda-82df-cd27193ad3af,Standing Bodhisattva Maitreya,https://harvardartmuseums.org/collections/object/303393?position=0&context=person&id=18568,https://nrs.hvrd.art/urn-3:huam:DDC112258_dynmc,Sculpture,Mongolian,,
1,bb984ab6-6737-4007-8034-38dc75ed4b7c,324662,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"[Detail of a Benzene Wash, Scholven Coal Mine near Buer]",https://harvardartmuseums.org/collections/object/324662?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:DDC105927_dynmc,Photographs,German,Gelatin silver print,
2,3fcf71b5-7eb6-48a1-9f62-e8b4a7e2d66d,221440,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,Untitled (Landscape),https://harvardartmuseums.org/collections/object/221440?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:759916,Photographs,German,Gelatin silver print,
3,574408ec-27a1-48e9-9045-0658406a90f6,221407,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,Untitled (Church),https://harvardartmuseums.org/collections/object/221407?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV017293_dynmc,Photographs,German,Gelatin silver print,
4,e7cf0983-b67a-49d1-b0f6-533fae60139b,95350,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"Katharinenkirche, Brandenburg (Exterior: from the south)",https://harvardartmuseums.org/collections/object/95350?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV202249_dynmc,Photographs,German,Gelatin silver print,
5,1aeaac28-a44a-4e0f-83b2-ad72bacf3d81,93796,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"Sandkirche, Breslau (Interior: Vaulting)",https://harvardartmuseums.org/collections/object/93796?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV005903_dynmc,Photographs,German,Gelatin silver print,
6,c73472eb-a518-4cc8-868a-fcb437f12366,93801,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"Klosterkirche, Doberan (Interior)",https://harvardartmuseums.org/collections/object/93801?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV202248_dynmc,Photographs,German,Gelatin silver print,
7,963e5b99-1b25-444d-b6a3-de7260791ddb,93468,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"Klosterkirche, Doberan (Exterior: from the northwest)",https://harvardartmuseums.org/collections/object/93468?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV202247_dynmc,Photographs,German,Gelatin silver print,
8,be2bc9fc-08a9-4495-8f98-a188956fa796,93785,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"Cathedral, Lübeck (Interior)",https://harvardartmuseums.org/collections/object/93785?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV202245_dynmc,Photographs,German,Gelatin silver print,
9,c7793771-c7c8-454f-8ec7-e7dfdaaaf0fb,93784,f55a5646-1bdf-4c84-b9f3-f80cf049d66f,"Marienkirche, Lübeck (Exterior: view of nave and choir)",https://harvardartmuseums.org/collections/object/93784?position=0&context=person&id=28243,https://nrs.hvrd.art/urn-3:HUAM:INV202244_dynmc,Photographs,German,Gelatin silver print,
