Image URL,Brand,Product Title,Price,Location,Item Number,Year,Condition,Shipping Info,Comes With,Size,Description
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/5bf5c453b9e37ad7f41fa13addb263eb.jpg,Hermes,Calfskin New Jersey Boots 37 Black,"$1,150",Pickup today in our NYC Flagship,1500691,,Excellent,Other: Scuffs at soles,"['FASHIONPHILE Certificate of Authenticity', 'Box', '2 dust bags']","{'Shaft': '15 in', 'Heel': '0.75 in', 'Size': '37 EU'}",This is an authentic pair of HERMES Calfskin New Jersey Boots size 37 in Black. These stunning riding boots are crafted with smooth calfskin leather with a stacked heel.
https://prod-images.fashionphile.com/main/e5179219ee5d029f8311c8be52ae9f73/655d46b934a775bd87dcb5edd22abec4.jpg,Hermes,Toile Swift Sac Roulis 23 Jaune Poussin,"$5,595",Pickup today in our San Diego Flagship,1432335,2016,Excellent,Hardware: Faint scratch(es),['FASHIONPHILE Certificate of Authenticity'],"{'Base length': '9.25 in', 'Height': '7.5 in', 'Width': '3 in', 'Drop': '19 in'}","This is an authentic HERMES Toile Swift Sac Roulis 23 in Jaune Poussin. This stunning shoulder bag is beautifully crafted of calfskin leather in yellow and canvas in beige. The bag features white leather trim and shoulder strap with silver palladium plated hardware. The crossover toile flap opens to a partitioned, matching yellow leather interior with patch pockets."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/da0fb9ea42c960dd59819c232bc85760.jpg,Hermes,Ostrich Birkin 25 Mykonos,"$39,995",Pickup today in our NYC Flagship,1500099,2023,Giftable,Hardware: Protective plastic sticker(s) intact,"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Clochette', 'Dust bag', 'Lock & 2 keys']","{'Base length': '9.5 in', 'Height': '8.25 in', 'Width': '5.25 in', 'Drop': '2.5 in'}","This is an authentic HERMES Ostrich Birkin 25 in Mykonos. This handbag is expertly handcrafted of exotic ostrich leather in blue. The bag features rolled leather top handles, a frontal flap with a strap closure with palladium plated hardware including a padlock and keys. The top flap opens to a matching chevre goatskin leather interior with zipper and patch pockets."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/eba7ef754381cea652a959358e36d191.jpg,Hermes,Sterling Silver Chaine d'Ancre Punk Bracelet ST,$850,Pickup today in our San Diego Flagship,1499685,,Shows Wear,Hardware: Scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Case']","{'Circumference': '6 in', 'Width': '7 mm'}",This is an authentic HERMES Sterling Silver Chaine d'Ancre Punk Bracelet ST. The bracelet is crafted of sterling silver and features a safety pin motif and elongated links that wrap twice around the wrist.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/00744baa43c7a3cbbf6f8032c68d0109.jpg,Hermes,Swift Valparaiso Tote Blue Jean,$725,Pickup today in our San Diego Flagship,1499683,,Shows Wear,Hardware: Faint scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Removable pouch']","{'Base length': '16.25 in', 'Height': '11.25 in', 'Width': '7 in', 'Drop': '4.75 in'}",This is an authentic HERMES  Swift Valparaiso Tote in Blue Jean. This stylish tote is crafted of fine herringbone woven cotton in blue. The front leather flap opens to a spacious fabric interior with a hanging patch pocket and a removable pouch.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/cdf87b2bf11d2b6e20ac20d20eaf150a.jpg,Hermes,Toile Sac De Pansage Groom Bleu Marine Rouge,"$2,095",Pickup today in our NYC Flagship,1499186,2019,Excellent,Exterior: Surface wear,"['FASHIONPHILE Certificate of Authenticity', 'Insert', 'Strap', 'Dust bag']","{'Base length': '15 in', 'Height': '13.5 in', 'Width': '6.75 in', 'Drop': '17 in'}","This is an authentic HERMES Toile Sac De Pansage Groom in Bleu Marine and Rouge. This practical equestrian-style bag is crafted with durable cotton canvas in navy blue. The tote features red canvas trim leading to top handles, an optional nylon shoulder strap, exterior pockets, and palladium silver hardware. The open top reveals a bright blue fabric interior with a removable insert."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/48184bcbc0d22415f75efa28d7788eb5.jpg,Hermes,Sterling Silver MM Chaine D'Ancre Necklace,"$1,650",Pickup today in our San Diego Flagship,1499088,,Shows Wear,Hardware: Scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Case']","{'Length': '17 in', 'Width': '10 mm'}",This is an authentic HERMES Sterling Silver MM Chaine D'Ancre Necklace. The necklace is crafted of sterling silver and features interlocking chaine d'ancre links with a toggle clasp.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/cdbe18feecaddfee5816e839004a4e88.jpg,Hermes,Evercolor Bi-Color Constance Slim Wallet Framboise Rouge Sellier,"$2,750",Pickup today in our NYC Flagship,1499032,,Excellent,Hardware: Protective plastic sticker(s) intact,"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Dust bag']","{'Base length': '5 in', 'Height': '4 in', 'Width': '1 in'}",This is an authentic HERMES Evercolor Bi-Color Constance Slim Wallet in Framboise and Rouge Sellier. This compact essential wallet is crafted of calfskin leather in pink and features a frontal palladium gold H clasp that opens to a matching leather interior with card slots and a removable burgundy zipper pocket insert.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/8ff7c33dfe4cc171c81cc4b77fc0e59b.jpg,Hermes,Calfskin Day Sneakers 36 White,$795,Pickup today in our San Diego Flagship,1498981,2022,Shows Wear,Other: Worn soles,"['FASHIONPHILE Certificate of Authenticity', '2 dust bags', 'Box']",{'Size': '36 EU'},These are authentic HERMES Calfskin Day Sneakers size 36 in White. These stylish sneakers are crafted of white leather. Each shoe has a cross-over strap with a rose gold turn lock and thick rubber soles.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/b41ad87dbca35ec4e06a5f846fff4341.jpg,Hermes,18K Rose Gold PM Collier De Chien Ring 53 6.5,"$1,095",Pickup today in our San Diego Flagship,1498351,,Shows Wear,Hardware: Scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Case', 'Box']","{'Size': '53 EU', 'Width': '5 mm'}",This is an authentic HERMES 18K Rose Gold PM Collier De Chien Ring size 53 or 6.5. The ring is crafted of 18 karat rose gold and features two studs alongside a center ring motif.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/951f532a421f64abb8d558d9ef07fd67.jpg,Hermes,Buffalo Horn Lacquered Wood Isthme Earrings White,$250,Pickup today in our San Diego Flagship,1498352,,Shows Wear,Exterior: Surface wear,"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Pouch']","{'Length': '2.75 in', 'Height': '1.5 in'}","This is an authentic HERMES Buffalo Horn Lacquered Wood Isthme Earring in White. These magnificent earrings are crafted buffalo horn setting with white lacquered wood, giving these earrings a unique touch."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/6f8157035dc1cbf6bbe976ea527c1c6e.jpg,Hermes,Metallic Goatskin Paris Loafers 37.5 Dore,$950,Pickup today in our NYC Flagship,1494147,,Giftable,Hardware: Protective plastic sticker(s) intact,"['FASHIONPHILE Certificate of Authenticity', 'Box', '2 dust bags']","{'Size': '37.5 EU', 'Heel': '0.75 in'}",This is an authentic pair of HERMES Metallic Goatskin Paris Loafers size 37.5 in Dore. These stylish mules are crafted of metallic gold leather with black leather insoles and a.75-inch stacked wooden heel. These shoes feature a cross-over strap with a large palladium silver Hermes H.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/21f3fe259f75c815426bacca3194bea4.jpg,Hermes,Sterling Silver Farandole Necklace 160,"$1,795",Pickup today in our San Diego Flagship,1498083,,Shows Wear,Hardware: Scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Case']","{'Length': '66 in', 'Width': '14 mm'}",This is an authentic HERMES Sterling Silver Farandole Necklace 160. The necklace is crafted of sterling silver and features chaine d'ancre links in various sizes along the chain.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/d7dc8fed2e9eb0e425cf9b298edcec20.jpg,Hermes,Sterling Silver Five Bags Amulette Charm Bracelet ST,"$1,350",Pickup today in our San Diego Flagship,1498073,,Shows Wear,Hardware: Scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Case']","{'Circumference': '6 in', 'Width': '10 mm'}",This is an authentic HERMES Sterling Silver Five Bags Amulette Charm Bracelet size ST. The bracelet is crafted of sterling silver and features an oval link bracelet with five signature Hermes handbag charms and a toggle clasp.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/875cfc161398a57599f838219875416b.jpg,Hermes,18K Rose Gold TPM Farandole Bracelet SH,"$1,295",Pickup today in our San Diego Flagship,1498017,,Shows Wear,Hardware: Scratch(es),"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Case']","{'Circumference': '6.25 in', 'Width': '6 mm'}",This is an authentic HERMES 18K Rose Gold TPM Farandole Bracelet SH. The bracelet is crafted of 18 karat rose gold and features polished chain links with a toggle clasp for easy wear.
