Image URL,Brand,Product Title,Price,Location,Item Number,Year,Condition,Shipping Info,Comes With,Size,Description
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/d6fc8b9e938d844d308b7075cf747b33.jpg,Hermes,18K Rose Gold Diamond PM Echappee Ring 54 7,"$2,050",Pickup today in our San Diego Flagship,1496221,2023,Excellent,['Hardware: Faint scratch(es)'],"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Case', 'Certificate']","{'Size': '54 EU', 'Width': '14 mm'}","This is an authentic HERMES 18K Rose Gold Diamond PM Echappee Ring 54 or 7. The ring is crafted of 18 karat rose gold and features a polished bar and circle motif accented with diamonds, approximately .07 total carat weight."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/6e65befabab803e400932efa2f34c2ad.jpg,Hermes,HERMES Taurillon Clemence Victoria II 35 White,"$2,250",Pickup today in our NYC Flagship,1471340,2010,Shows Wear,"['Exterior: Corner wear, scuffs, edge wear, marks', 'Handle: Edge wear, wear at resin glazing', 'Interior: Marks']","['FASHIONPHILE Certificate of Authenticity', 'Clochette', 'Lock', '2 keys']","{'Base length': '14 in', 'Height': '8.75 in', 'Width': '5.75 in', 'Drop': '8 in'}",This is an authentic HERMES Taurillon Clemence Victoria II 35 in White. This chic satchel is crafted of grained calfskin leather with a distinctive grain in white. The handbag features tall leather strap top handles and has a top zipper that opens to a herringbone fabric interior with a zipper and patch pockets.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/f0e0b96d68fa129aafc7061e70ceff76.jpg,Hermes,Matte Alligator MC2 Copernic Compact Wallet Graphite,"$2,795",Pickup today in our San Diego Flagship,1502463,2020,Excellent,"['Exterior: Edge wear', 'Interior: Scuffs']","['FASHIONPHILE Certificate of Authenticity', 'Box']","{'Length': '4.25 in', 'Width': '0.5 in', 'Height': '3.5 in'}",This is an authentic HERMES Matte Alligator MC2 Copernic Compact Wallet in Graphite. This stylish wallet is beautifully crafted of alligator leather in grey.  The wallet opens to a matching leather interior with card slots and billfold.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/5d6b8be7e93e22011a919da8c2ef8a7b.jpg,Hermes,Evercolor Dogon Duo Wallet Mauve Pale,"$1,295",Pickup today in our San Diego Flagship,1495109,2024,Excellent,['Interior: Imprints'],"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Insert']","{'Base length': '7.75 in', 'Height': '4.75 in', 'Width': '1 in'}","This is an authentic HERMES Evercolor Dogon Duo Wallet in Rouge De Coeur. This sophisticated clutch wallet is finely crafted of evercolor calfskin leather in red. A small strap loops through a palladium round tab to secure the wallet. The interior is a matching leather with credit card slots, a billfold and a removable zippered pouch."
https://prod-images.fashionphile.com/main/91ba719114462b0b9e2ffe768a1ca36e/a1128e22181713f5cf97b2bd25b546ed.jpg,Hermes,Calfskin Womens Hot Loafer 35.5 Black,"$1,095",Pickup today in our San Diego Flagship,1329561,,Excellent,"['Hardware: Protective plastic sticker(s) intact', 'Exterior: Faint scuffs', 'Other: Marks on sole(s)']","['FASHIONPHILE Certificate of Authenticity', 'Box', '2 dust bags']",{'Size': '35.5 EU'},This is an authentic pair of HERMES Calfskin Womens Hot Loafer size 35.5 in Black. These stylish loafers are crafted of black leather. They feature a cross-over strap with the classic palladium silver Kelly turn lock.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/d6db157699edfb527dca5eabf0f89bf8.jpg,Hermes,Enamel Wide Clic Clac H Bracelet GM  White,$595,Pickup today in our San Diego Flagship,1502688,2009,Excellent,"['Hardware: Scratch(es), nick(s)']","['FASHIONPHILE Certificate of Authenticity', 'Pouch']","{'Circumference': '7.5 in', 'Width': '0.75 in'}","This is an authentic HERMES Enamel Wide Clic Clac H Bracelet GM in White. This bracelet is crafted of a palladium silver plated band with a hinge on one side that opens with a swivel Hermes ""H"" on the prominent side. Around the band is a strip of white enamel."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/751e6b828b21acb2475deb2d93cb5e3d.jpg,Hermes,Shiny Alligator Collier De Chien CDC Bracelet T3,$995,Pickup today in our NYC Flagship,1501037,2021,Excellent,[],"['FASHIONPHILE Certificate of Authenticity', 'Box', 'Pouch']","{'Width': '1.5 in', 'Circumference': '7 in'}","This is an authentic HERMES Shiny Alligator  Collier De Chien CDC Bracelet T3 in Nata. This stylish bracelet is crafted of white exotic crocodile with with two gold plated plates, one with decorative studs and one for adjustability."
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/a8d9505167f1bd349f8a4967a6693831.jpg,Hermes,Lizard Collier De Chien CDC 24 Bracelet T3 Black,$525,Pickup today in our NYC Flagship,1501033,2022,Excellent,['Hardware: Faint scratch(es)'],"['FASHIONPHILE Certificate of Authenticity', 'Pouch']","{'Width': '1 in', 'Circumference': '6.25 in'}","This is an authentic HERMES Lizard Collier De Chien CDC 24 Bracelet size T3 in Black. Collier de Chien simply means ""dog collar"" and this chic bracelet replicates the elements of a dog collar in a way that is sophisticated and stylish. It has a lovely band in black lizard skin, gold plated hardware with four studs and a ring, and a stud adjustment plate."
https://prod-images.fashionphile.com/main/e3a7d0e970f31ba9ce582a71a56b16e0/e563cf85278549f574efcfb85610f0c7.jpg,Hermes,Suede Goatskin Quilted Fuji Boots 40 Black,"$1,050",Pickup today in our NYC Flagship,1434120,,Excellent,"['Exterior: Creases, marks, faint scuffs', 'Other: Scuffs at soles, marks on sole(s)']","['FASHIONPHILE Certificate of Authenticity', 'Box', '2 dust bags']","{'Size': '40 EU', 'Shaft': '12.5 in', 'Heel': '1.5 in'}",This is an authentic pair of HERMES Suede Goatskin Quilted Fuji Boots size 40 Black. These stunning boots are crafted of a black goatskin leather exterior and feature a Mosaique quilting on the upper and smooth leather base.
https://prod-images.fashionphile.com/main/d362229fc70d299585666376f0b9dfa6/74f4b3717648638fb08918730a6cecd0.jpg,Hermes,Epsom Kelly Pocket Belt Black,"$1,750",Pickup today in our NYC Flagship,1498842,,Excellent,"['Hardware: Scratch(es)', 'Exterior: Marks']","['FASHIONPHILE Certificate of Authenticity', 'Box', 'Dust bag', 'Removable pouch']","{'Length': '13 in to 41.50 in', 'Width': '0.75 in'}","This is an authentic HERMES Epsom Kelly Pocket Belt in Black. This stylish belt is crafted of Epsom calfskin leather in black. This one-size-fits-most belt features a discreet sliding system and can be worn at the waist or low at the hips, secured with a classic gold plated Kelly turn lock on the front."
