UUID,Brand name,Title,Product image,Condition,Price,Item #:,Estimated Retail Price:,Dimensions:,Includes:,Circa:,Made In:,Size:,Handle Drop:,Strap Length:,Exterior Color:,QA Tag:,Exterior Material:,2nd Strap Length:
2ece66fa-89d0-41d2-886d-7edc03b9e1af,Louis Vuitton,Monogram Canvas Small Ring Agenda Cover,https://mygemma.com/cdn/shop/files/142705-fv_3bb476c3-2d94-4355-b969-849b46c0ca2c_200x200.jpg?v=1727942026,Good,$300,142705,450,4.0 x 5.5 x 0.6,None,1997,Spain,,,,,,,
0a139028-027d-469b-a7dc-25107ddb2218,Louis Vuitton,Damier Ebene Canvas Keepall Bandouliere 55,https://mygemma.com/cdn/shop/files/142769-fv_45ce9276-2b2e-4ac5-80a2-dfe7933debe0_200x200.jpg?v=1727944501,Very Good,"$1,450",142769,"2,620",22.0 x 12.0 x 9.5,Removable Straps,2018,US,55,4.5,18-25,,,,
d9c1d3e4-f09b-42ba-9668-b2fc16595acb,Chanel,Navy Tweed Python Medium Filigree Vanity Case,https://mygemma.com/cdn/shop/files/142835-fv_200x200.jpg?v=1727941782,Excellent,"$4,250",142835,,8.2 x 6.2 x 3.3,Clochette;Dustbag;Lock;Authenticity Card;Key,2018,Italy,,2.00,19,,,,
b58258a0-b063-4575-9ac6-cc3c3c067b97,Louis Vuitton,Monogram Eclipse Canvas Speedy Bandouliere 25,https://mygemma.com/cdn/shop/files/142779-fv_200x200.jpg?v=1727941765,Excellent,"$1,750",142779,"2,210",9.75 x 5.75 x 4.25,Box;Dustbag;ID Tag;Receipt;Removable Straps,2021-2023,France,25,2.5,17-22,,,,
3a285be5-163a-4ef6-a831-d78b25011dd2,Louis Vuitton,Monogram Canvas Montaigne BB,https://mygemma.com/cdn/shop/files/142778-fv_200x200.jpg?v=1727944483,Excellent,"$1,750",142778,,11.5 x 8.0 x 5.0,Clochette;Dustbag;Lock;Key;Removable Straps,2019,Spain,BB,3.8,20.5,LV Monogram,,,
bd0dd8df-4de0-43bc-b476-b0aee26a71ad,Chanel,Navy Tweed Python Small CC Filigree Vanity Case,https://mygemma.com/cdn/shop/files/142747-fv_79cf2ee2-cbdd-451c-a7e7-294f15917d0d_200x200.jpg?v=1727941730,Excellent,"$4,500",142747,,6.5 x 5.0 x 3.0,Clochette;Dustbag;Lock;Authenticity Card;Key,2018-2019,Italy,,1.00,22,,,,
ab1a3207-523a-4eb9-a084-4b8b9dbbea2e,Prada,Black Green Jacquard Triangolo Symbole Shopping Tote,https://mygemma.com/cdn/shop/files/142445-fv_200x200.jpg?v=1727799398,Excellent,"$2,450",142445,,14.5 x 15.0 x 4.5,Box;Clochette;Dustbag;Care Booklet;Authenticity Card,,Italy,,,12,,250,,
9f704add-e79f-46cb-b0ac-8da82e764b95,Gucci,Brown Leather Jumbo GG Embossed Wristlet Pouch,https://mygemma.com/cdn/shop/files/141828-fv_16032c51-0cc0-44cd-9941-6eacebe69fdb_200x200.jpg?v=1727941697,Pristine,$750,141828,,11.75 x 7.75 x 1.0,Additional Strap;Box;Dustbag;Removable Straps,,Italy,,6,,,,,
17bb828d-ae1a-45c6-bf5e-fc4a371703af,Louis Vuitton,Damier Ebene Canvas Speedy Bandouliere 30,https://mygemma.com/cdn/shop/files/141602-fv_8009b935-0290-4688-9e61-fd460d959943_200x200.jpg?v=1727799347,Very Good,"$1,050",141602,"1,890",12.25 x 7.0 x 8.5,Dustbag;Lock;Key;Removable Straps,2016,France,30,3.25,20,,,,
1c0f06b3-cd17-4fe2-bd5b-1cd2c73e893c,Saint Laurent,Black Grain De Poudre Medium Classic Kate,https://mygemma.com/cdn/shop/files/139220-fv_200x200.jpg?v=1727941678,Very Good,"$1,750",139220,"2,400",11.0 x 8.0 x 3.0,Dustbag,2018,Italy,Medium,,19,,,Grain de Poudre,
